neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Treptow - Köpenick,Alt  Treptow,52.48938,13.44141,Entire home/apt,80,2,32,0.22,1,238,9,0,0,5.255806040459813,5.495231873331538,4.030915705260485,6.166617239912359,4.650189474408151,4.03,1,1,1,92
Charlottenburg-Wilm.,Düsseldorfer Straße,52.49713,13.32525,Private room,38,7,13,0.14,2,198,0,0,1,4.153774265301868,4.2055532205688415,5.665369815378735,6.111089347749816,5.015001515240553,4.15,3,3,5,25
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50943,13.45458,Private room,56,82,105,0.72,1,0,0,0,1,5.269519020789651,5.418682640386025,3.6376547897460854,5.223469180200442,4.41271464274664,3.64,1,1,2,500
Steglitz - Zehlendorf,Zehlendorf  Nord,52.43704,13.22343,Entire home/apt,89,60,0,0.0,1,365,0,0,1,13.70043295963745,13.789614614850148,15.039741141989886,15.73364655367421,14.495395270065238,13.7,1,1,2,15
Neukölln,Rudow,52.41363,13.50172,Entire home/apt,100,5,3,0.08,1,357,0,0,1,14.191497801085408,14.466225884659728,13.305275201919548,15.500794273401063,13.807290219973966,13.31,1,2,5,21
Pankow,Prenzlauer Berg Südwest,52.53197,13.41994,Entire home/apt,169,5,40,0.27,1,0,0,0,0,3.3532131045167395,3.3196068985398277,2.0834046573114056,2.0485383405074993,2.5284236230341777,2.05,1,1,2,7
Charlottenburg-Wilm.,Mierendorffplatz,52.52349,13.2979,Private room,35,92,8,0.16,1,140,0,0,1,5.481150879363338,5.342218036004068,7.128691064470714,6.397355395402976,6.35252184068554,5.34,1,1,2,21
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51208,13.45706,Entire home/apt,98,9,6,0.05,1,0,1,1,1,5.402648896830182,5.537518045265158,3.750812119807535,5.213601532599539,4.5276130318039485,3.75,2,2,4,365
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50035,13.43736,Entire home/apt,195,7,12,0.19,1,0,0,0,1,4.416352831426546,4.623734446043681,2.9911081026044157,5.024304099893376,3.690622212383047,2.99,1,1,2,26
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51399,13.46324,Entire home/apt,150,2,0,0.0,1,0,0,0,1,5.807480583455146,5.931303051182613,4.146288753357305,5.48790219733353,4.921220306858986,4.15,1,1,2,760
Charlottenburg-Wilm.,Neue Kantstraße,52.50469,13.29409,Entire home/apt,60,92,17,0.15,1,263,2,0,1,5.825908757500673,5.786090457855594,7.4673626382535545,7.352336033453369,6.735909215809232,5.79,1,1,2,100
Mitte,Moabit West,52.52183,13.33318,Entire home/apt,175,3,314,2.35,1,256,0,1,1,3.089816492707653,2.94174762535968,4.728529531050583,4.144350581634054,3.95195848507907,2.94,1,1,1,21
Pankow,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,280,3,113,0.79,3,175,15,0,1,3.986773158595022,3.8159049057890613,3.4536184898791613,1.762903990654636,3.487572648930497,1.76,1,2,3,14
Mitte,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,179,3,15,0.11,1,0,4,0,1,3.203016245277769,3.047315656624717,2.665506866159979,1.0587490628659242,2.6782253345736096,1.06,2,3,6,23
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51012,13.46212,Entire home/apt,123,2,8,0.22,1,0,4,0,1,5.766870502343347,5.909322713196115,4.124252451005674,5.620049764801181,4.900822039732019,4.12,1,2,2,365
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49757,13.38215,Private room,40,5,5,0.1,1,0,0,0,1,2.1015354207826245,2.37731564865812,2.5255376053617122,4.217623796886619,2.3152999257901055,2.1,1,1,2,20
Pankow,Prenzlauer Berg Nordwest,52.54718,13.40528,Private room,81,2,73,0.53,2,42,15,1,1,3.9137871687394035,3.740690067079661,3.4043520816799964,1.684458928602124,3.4244738830462604,1.68,2,2,4,14
Pankow,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,190,3,335,2.44,9,330,25,0,1,4.53514328422543,4.383971406854222,3.8177737423082467,2.3697011662658105,3.958823464195857,2.37,1,2,2,1125
Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5189,13.3009,Private room,40,1,45,0.37,1,290,18,0,1,5.226740780491351,5.111420481982592,6.889134067036698,6.325123108152478,6.117583823318786,5.11,1,2,2,1125
Pankow,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,102,93,0,0.0,4,0,0,0,1,4.041575488259605,3.8600312975426996,3.5810835656218245,1.7928671506726004,3.579535051736563,1.79,2,3,4,10
Mitte,Tiergarten Süd,52.502354,13.353466,Entire home/apt,75,4,256,2.04,1,6,13,0,1,2.26288694969143,2.3789514300531236,3.678118542654734,4.420398377653851,3.0652721140062416,2.26,1,1,3,28
Charlottenburg-Wilm.,Kantstraße,52.5078,13.31867,Entire home/apt,83,3,67,0.58,1,247,5,0,0,4.121840295281072,4.087044106109812,5.763545387444632,5.730729036204746,5.031576061387687,4.09,1,1,1,10
Charlottenburg-Wilm.,Mierendorffplatz,52.52545,13.29847,Entire home/apt,45,30,30,0.26,1,253,3,0,0,5.479222888917975,5.33030110232927,7.116819273054574,6.3184471662140025,6.3400028807216104,5.33,2,2,4,20
Mitte,Wedding Zentrum,52.54223,13.35284,Entire home/apt,81,3,570,4.27,2,1,41,0,1,3.3482998921806963,3.0681338835184713,4.402692394224,2.6548302571663087,3.7654480180584735,2.65,1,3,2,365
Charlottenburg-Wilm.,Schmargendorf,52.48074,13.28903,Entire home/apt,127,2,130,0.93,2,12,6,0,1,7.207734641564649,7.267227115575045,8.668958848620782,9.157109929195421,8.052012067726311,7.21,1,2,2,365
Mitte,Moabit West,52.52875,13.34062,Entire home/apt,75,60,209,1.6,2,12,4,0,1,2.879217890798069,2.6648132818827985,4.399242645059651,3.439539779288747,3.6351034664342117,2.66,1,1,2,60
Mitte,Regierungsviertel,52.52142,13.38983,Entire home/apt,150,4,51,0.37,1,232,8,0,1,0.9992776876685528,0.9762738202295889,1.000756082155108,1.5282738700234233,0.4254105637443004,0.43,1,1,2,1125
Pankow,Prenzlauer Berg Nord,52.55064,13.41466,Entire home/apt,68,3,360,2.59,1,14,40,0,1,4.571199385343367,4.416443305778027,3.875021599640009,2.392242206297517,4.005399961873648,2.39,1,1,2,40
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51495,13.44469,Entire home/apt,45,2,6,0.05,1,0,0,1,1,4.544963504955968,4.667465688062982,2.8826019673915306,4.327609848955006,3.657377288396013,2.88,0,2,4,200
Treptow - Köpenick,Altglienicke,52.40484,13.53339,Private room,46,1,344,2.66,1,17,73,0,1,16.297717075155994,16.566875730189103,15.30167672331102,17.462713361751085,15.852098873657145,15.3,4,4,7,365
Pankow,Helmholtzplatz,52.54677,13.41894,Entire home/apt,284,2,355,2.55,2,329,37,0,1,4.396109493715786,4.268830553794109,3.537450991051632,2.339233804526983,3.7530675808310057,2.34,1,1,2,1125
Mitte,Moabit Ost,52.5197,13.34206,Entire home/apt,95,5,101,0.76,2,312,10,0,1,2.4543538878312767,2.3204084842435018,4.104595788001499,3.6923644235526507,3.3296988458227648,2.32,2,1,2,320
Mitte,Moabit Ost,52.52265,13.3419,Entire home/apt,95,5,72,0.6,2,257,3,1,1,2.536705948942071,2.3708288241783526,4.155342032087499,3.5612907428912597,3.3785993226222346,2.37,1,1,2,360
Mitte,Alexanderplatz,52.52861,13.40527,Private room,49,3,209,1.57,1,232,34,0,1,2.317250659301268,2.264657925169056,1.3469749688084427,1.2549761755311855,1.5562824746307136,1.25,1,1,2,365
Mitte,Alexanderplatz,52.53036,13.38137,Entire home/apt,79,3,122,1.36,2,243,25,0,1,1.5872102187399184,1.352413992142771,2.0862581383328744,0.8024196043747596,1.5565917497764148,0.8,1,1,2,14
Pankow,Prenzlauer Berg Nord,52.54715,13.42657,Entire home/apt,119,3,195,1.42,4,283,53,0,1,4.772371389536037,4.664882203165172,3.7729404457820905,2.80526277341099,4.073429974416846,2.81,0,1,1,330
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49802,13.4409,Private room,62,4,9,0.07,1,12,4,0,1,4.742714703298098,4.955351381500079,3.3400293191065162,5.377342302884693,4.032186580865388,3.34,1,4,4,180
Tempelhof - Schöneberg,Lichtenrade,52.39095,13.39185,Entire home/apt,90,92,7,0.06,1,122,1,0,0,13.977446836699336,14.246726681440308,14.004367532920243,16.04663007094327,14.100342000206794,13.98,1,1,4,30
Pankow,Prenzlauer Berg Südwest,52.54048,13.41087,Entire home/apt,126,5,62,0.45,4,7,0,0,1,3.5078304184079565,3.384106671399859,2.7155996626448835,1.5222938959439465,2.8748596651773157,1.52,2,3,5,28
Tempelhof - Schöneberg,Schöneberg-Nord,52.49132,13.35102,Entire home/apt,52,185,62,0.48,1,116,0,0,1,3.317588414611411,3.486191119565102,4.480197580542358,5.555838169638726,3.995351252263115,3.32,1,1,2,10
Pankow,Prenzlauer Berg Südwest,52.5401,13.4098,Private room,60,4,14,0.11,1,328,1,1,1,3.4289794411828947,3.3033109714468862,2.65949210180815,1.4390009369659802,2.803803238245843,1.44,1,1,2,35
Charlottenburg-Wilm.,Neue Kantstraße,52.50587,13.29551,Entire home/apt,98,10,39,0.3,1,272,0,1,1,5.70377822882296,5.658848944581412,7.349869977475991,7.206548466798547,6.614388599070747,5.66,2,4,6,1125
Neukölln,Reuterstraße,52.48342,13.43774,Private room,32,2,30,0.23,1,0,0,1,1,5.4719508145705715,5.728095097582681,4.410382353897586,6.59955438527051,4.959443218995258,4.41,1,1,2,365
Pankow,Blankenfelde/Niederschönhausen,52.58178,13.3962,Entire home/apt,75,2,18,0.16,1,300,6,0,1,7.396613806813214,7.15774130045271,7.260504237332929,5.20456781394683,7.143406586183932,5.2,1,2,2,365
Marzahn - Hellersdorf,Mahlsdorf,52.47798,13.60628,Entire home/apt,59,3,51,0.49,1,266,13,0,1,16.093001111033747,16.266864004642386,14.50459500650118,15.99141240168525,15.272890986186715,14.5,1,3,4,365
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49989,13.4448,Entire home/apt,68,92,85,0.62,1,78,0,1,1,4.902132213860869,5.102984389773207,3.434235163565516,5.3973328225783,4.154045385327028,3.43,1,4,5,365
Neukölln,Rixdorf,52.47578,13.44689,Entire home/apt,62,1,3,0.02,1,0,2,0,1,6.506180251226257,6.765954192424535,5.462304406596815,7.6461307905861435,6.010930728637152,5.46,1,1,4,365
Neukölln,Buckow Nord,52.44127,13.46116,Entire home/apt,45,4,40,0.47,2,300,18,0,1,10.086664342536244,10.363925332124953,9.291028836713908,11.505105961852411,9.746187195452537,9.29,1,2,2,365
Mitte,Alexanderplatz,52.52536,13.40488,Entire home/apt,109,2,590,4.46,6,25,42,0,1,2.0997750280714884,2.086182290563799,0.9857976728814067,1.476132919387003,1.2732930995429192,0.99,5,10,14,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50894,13.46075,Entire home/apt,184,3,26,0.29,1,137,5,1,1,5.691921317544367,5.840404168485045,4.058458589896663,5.606708034642912,4.833927202019238,4.06,0,1,4,365
Pankow,Prenzlauer Berg Südwest,52.53218,13.41571,Entire home/apt,86,3,545,4.12,2,3,49,1,1,3.124956130989816,3.0769251059508584,1.953584617746374,1.761974790315379,2.3285963909532232,1.76,1,2,5,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51367,13.45527,Entire home/apt,133,4,74,0.58,1,275,3,0,1,5.26884091227954,5.3960517466206035,3.609906423517065,5.021544600315979,4.385752052125112,3.61,1,1,1,98
Tempelhof - Schöneberg,Schöneberg-Nord,52.49944,13.34685,Entire home/apt,128,1,299,2.2,1,351,30,0,1,2.8132952498304795,2.9201318470439657,4.224594751115387,4.94513003112508,3.61905340884829,2.81,2,3,5,1125
Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41643,13.16445,Entire home/apt,89,5,2,0.34,3,274,2,0,1,18.26499118379354,18.341182288695613,19.63877053180471,20.244277372793174,19.077426378829617,18.26,2,5,6,365
Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41618,13.16461,Entire home/apt,85,5,2,0.04,3,287,0,0,1,18.273335263879023,18.349952837519062,19.645674315581307,20.254246071759095,19.08513426341212,18.27,1,2,4,30
Neukölln,Schillerpromenade,52.47649,13.42541,Entire home/apt,40,60,67,0.5,1,74,1,0,0,5.482433453840164,5.757735310130039,4.735026962487959,6.951634600349607,5.143346900835817,4.74,1,1,4,365
Mitte,Moabit West,52.52826,13.33044,Entire home/apt,62,2,174,1.47,6,269,51,1,1,3.479092690872081,3.2857095834453407,5.047207419634494,4.127675681109041,4.276138670832084,3.29,2,4,4,365
Mitte,Moabit West,52.53094,13.33453,Entire home/apt,195,3,45,0.5,1,232,8,0,1,3.358829334038529,3.142714903628627,4.868413436214395,3.8070961203531444,4.107504948582891,3.14,1,1,2,365
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51604,13.46059,Private room,70,2,148,1.2,1,0,8,1,1,5.621980538986776,5.736032142162372,3.9563611518219974,5.229042252907343,4.727656717773917,3.96,3,6,6,1125
Tempelhof - Schöneberg,Schöneberg-Süd,52.48033,13.3609,Entire home/apt,89,4,251,1.86,1,259,32,0,1,4.15982324689833,4.3859425305287365,4.92312711049812,6.416745029613821,4.630019575763986,4.16,1,1,2,20
Mitte,Alexanderplatz,52.52779,13.39108,Entire home/apt,108,2,321,2.58,2,24,36,1,1,1.568446183055998,1.435576040152329,1.456464368399905,0.8213686589985595,1.1268073094503235,0.82,3,5,5,365
Mitte,Brunnenstr. Süd,52.52983,13.39275,Entire home/apt,114,1,265,2.11,2,36,38,1,1,1.8196977114595296,1.6784873946152963,1.6050020273623773,0.6168679882751449,1.3590119718356155,0.62,1,1,2,5
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49681,13.41758,Entire home/apt,75,14,22,0.26,1,235,3,1,1,3.4629737070659137,3.7130194689516065,2.4378419925811428,4.6537138712837365,2.939844336226125,2.44,1,2,4,1125
Treptow - Köpenick,Johannisthal,52.44612,13.49829,Entire home/apt,83,2,153,1.66,1,336,29,0,1,11.312190231662655,11.571136757471239,10.20256014744874,12.330889614893456,10.794109418641565,10.2,1,0,2,180
