neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Spandau,Gatow / Kladow,52.45321,13.13118,Private room,55,2,110,2.02,1,0,27,1,1,18.16222965991206,18.16654456762506,19.72538340558619,19.815386976363158,19.051700646799834,18.16,1,1,2,10
Pankow,Prenzlauer Berg Nordwest,52.55412,13.41115,Entire home/apt,84,2,28,0.52,1,3,1,0,1,4.782498821047299,4.607311026088753,4.2135187785420385,2.5444040885399755,4.280992685757849,2.54,1,1,2,17
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51832,13.45985,Entire home/apt,140,2,6,0.12,1,0,3,0,0,5.576231186391824,5.6785455065704165,3.9099335051498416,5.084252014947679,4.674416268757013,3.91,1,1,2,25
Charlottenburg-Wilm.,Halensee,52.49469,13.29935,Entire home/apt,65,2,5,0.1,1,0,0,0,0,5.841412867030065,5.858316471828946,7.406048463484812,7.636505257581703,6.727618820050611,5.84,1,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51615,13.46107,Private room,25,9,7,0.13,1,0,0,0,1,5.654516922249656,5.7679713933142756,3.988750290059835,5.253876938076355,4.7597626002499425,3.99,2,2,4,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48991,13.39684,Private room,30,3,10,0.18,1,0,0,0,1,3.2058433784923674,3.4890252029278517,2.9976014905516415,5.0545034181108575,3.113752563598209,3.0,1,1,2,10
Mitte,Brunnenstr. Süd,52.53414,13.40744,Private room,22,2,2,0.04,1,0,0,1,1,2.830159571173269,2.7344974607867174,1.9781390948630673,1.1748543122441257,2.146313179515398,1.17,1,1,2,30
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49893,13.40745,Entire home/apt,35,5,1,0.02,1,0,0,0,0,2.7894792071544754,3.0503492224637654,2.0012843088249164,4.197222158091442,2.36508316213984,2.0,1,1,2,1125
Pankow,Prenzlauer Berg Südwest,52.5391,13.4109,Entire home/apt,130,2,31,0.57,1,0,0,1,0,3.392671821769119,3.276969586171212,2.5662581521142487,1.4712726952596102,2.7412020226715494,1.47,1,1,1,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49125,13.39111,Private room,35,6,1,0.02,1,0,0,1,0,2.92727572016873,3.209875382060712,2.926032141735308,4.885671969669087,2.939278331482121,2.93,2,2,4,10
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49317,13.39404,Entire home/apt,119,2,44,0.81,1,0,0,1,0,2.797312567575597,3.080554873127702,2.6714737179886505,4.678880603928878,2.733432903931012,2.67,1,1,1,30
Mitte,Moabit West,52.52046,13.33627,Entire home/apt,159,2,39,0.76,2,126,18,1,1,2.855831253603845,2.7180151430096435,4.50355284775507,4.0089997041761585,3.727989439499861,2.72,1,1,2,1125
Neukölln,Reuterstraße,52.48813,13.43001,Private room,15,16,0,0.0,1,0,0,0,1,4.731222319206424,4.986588301940474,3.6879454044537625,5.8891102596958085,4.221220811966629,3.69,1,1,2,14
Treptow - Köpenick,Köpenick-Nord,52.46495,13.57935,Entire home/apt,56,2,134,2.53,1,79,30,1,1,14.834950297301138,15.035773668497653,13.32965905736987,15.033752774040293,14.07419064204336,13.33,1,1,2,1125
Neukölln,Rixdorf,52.48015,13.44423,Entire home/apt,20,14,4,0.07,1,0,0,0,1,6.043172115356971,6.298721901645241,4.958763109894324,7.135493705249916,5.522208560665913,4.96,1,1,2,5
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51225,13.45275,Private room,29,1,0,0.0,1,0,0,0,1,5.109502722055545,5.24500693211103,3.458401362515225,4.951315493132752,4.235237281142733,3.46,1,1,1,1125
Pankow,Prenzlauer Berg Südwest,52.53984,13.40991,Entire home/apt,69,2,4,0.07,1,0,0,0,1,3.4114227021437036,3.2876349957962407,2.6325491991994046,1.4351351526748002,2.7815106184510388,1.44,1,1,1,15
Pankow,Pankow Süd,52.56428,13.4155,Private room,40,1,13,0.24,1,0,0,0,1,5.92433952608046,5.737832575476997,5.376179581658057,3.667414707301794,5.44718225806866,3.67,1,1,2,1125
Neukölln,Rixdorf,52.48006,13.44613,Private room,65,1,8,0.16,2,0,0,0,1,6.1467005782825614,6.400681686966836,5.0420218934243515,7.211176528568263,5.614989487212533,5.04,3,3,6,14
Mitte,Wedding Zentrum,52.5412,13.34898,Entire home/apt,43,1,3,0.06,1,0,0,1,1,3.3937071016413936,3.1182647500233385,4.53566145527553,2.877064236079007,3.8717703472222498,2.88,1,2,2,30
Charlottenburg-Wilm.,Kantstraße,52.50464,13.32714,Entire home/apt,44,30,11,0.22,1,107,0,1,1,3.6731834252099542,3.6761933073744677,5.275903666007129,5.463884895974038,4.57133161182478,3.67,1,1,2,10
Tempelhof - Schöneberg,Tempelhof,52.47344,13.38405,Entire home/apt,100,2,16,0.3,1,0,1,1,1,4.784556647292706,5.056019967261334,4.964688853446159,6.879831828713836,4.943675987815046,4.78,1,1,2,1125
Mitte,Brunnenstr. Süd,52.53549,13.37929,Private room,30,1,7,0.13,1,0,0,1,1,2.141665004588974,1.8886097095970131,2.615822068167899,0.7416681912721694,2.1368663225613225,0.74,1,0,2,30
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51849,13.46493,Entire home/apt,45,3,7,0.13,1,0,0,1,1,5.921555831538248,6.023291289069563,4.255283195786687,5.399736520203595,5.019521283164859,4.26,1,1,2,180
Steglitz - Zehlendorf,Zehlendorf  Nord,52.44599,13.29166,Private room,38,2,19,0.36,1,246,0,1,1,9.766413891740637,9.91512865670824,10.877788091194079,11.968494401617445,10.447851312635645,9.77,1,1,3,1125
Neukölln,Schillerpromenade,52.46636,13.42517,Entire home/apt,74,2,41,0.76,1,0,0,1,1,6.418991919846437,6.699691899614797,5.806306838706679,8.014736807245747,6.1627306960291595,5.81,0,6,6,90
Mitte,Alexanderplatz,52.52914,13.40792,Entire home/apt,65,2,2,0.04,1,0,0,0,0,2.497762535630519,2.450585048855034,1.4420003364640952,1.375706219359239,1.7175507097613116,1.38,1,1,2,1125
Neukölln,Schillerpromenade,52.4856,13.42228,Private room,30,2,8,0.16,1,0,0,0,1,4.558372829271327,4.826576679574813,3.7105216265882395,5.9284317468925956,4.152480591584715,3.71,2,4,5,1125
Mitte,Alexanderplatz,52.52188,13.40574,Entire home/apt,119,14,24,0.44,1,0,8,0,0,1.9984391591822281,2.0377713180274175,0.6276577473431125,1.8145428910113772,1.1051987107157195,0.63,1,1,2,1125
Lichtenberg,Alt-Lichtenberg,52.51297,13.49006,Entire home/apt,95,2,234,4.42,5,292,57,1,1,7.631588925341978,7.755176864014581,5.970560817436141,7.212904109585228,6.745239416177233,5.97,1,1,2,1125
Mitte,Osloer Straße,52.56014,13.38805,Private room,80,3,0,0.0,2,0,0,1,1,4.931718071881999,4.68937532095356,4.936432954977772,2.784451797446439,4.730856420382096,2.78,1,1,2,6
Treptow - Köpenick,Alt  Treptow,52.4895,13.45524,Private room,32,3,15,0.27,1,0,0,0,1,6.045003804419688,6.26975177573158,4.694185026176214,6.730597028455303,5.371399486639922,4.69,1,2,2,1125
Mitte,Brunnenstr. Süd,52.53383,13.38104,Entire home/apt,62,2,2,0.04,1,0,0,1,1,1.9669971964670185,1.7238087210991062,2.396797537985193,0.6391381703442801,1.9216800185656304,0.64,1,4,4,90
Tempelhof - Schöneberg,Tempelhof,52.46692,13.38371,Private room,30,7,0,0.0,1,0,0,1,1,5.505836465161818,5.775918948306261,5.675206977447767,7.6054464106393525,5.668280696240386,5.51,2,2,4,10
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50969,13.46781,Private room,20,6,0,0.0,1,0,0,0,1,6.156142312420079,6.298330426324804,4.513007127659904,5.981101782582855,5.289655666073614,4.51,1,1,2,1125
Pankow,Pankow Zentrum,52.5759,13.41839,Entire home/apt,48,3,7,0.13,1,0,0,1,1,7.185210050880703,6.986818044562607,6.683845099367615,4.920816888364076,6.741525923083723,4.92,2,3,5,28
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51438,13.44608,Private room,25,3,1,0.02,1,0,0,0,0,4.641742341875894,4.76736364133084,2.9814670063158264,4.441196489574232,3.757085700264991,2.98,1,1,2,1125
Marzahn - Hellersdorf,Hellersdorf-Ost,52.53318,13.60813,Private room,27,1,3,0.24,2,0,2,1,1,15.74755963508918,15.824418261842114,14.089566903141293,14.789417260669627,14.83777033222707,14.09,1,2,2,25
Pankow,Prenzlauer Berg Nordwest,52.5498,13.41328,Private room,40,2,10,0.18,1,0,0,1,1,4.441803697982095,4.28576171061881,3.7641935330359835,2.2599816808061584,3.882533194684597,2.26,1,1,2,28
Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.47872,13.33161,Entire home/apt,50,5,2,0.04,1,0,0,0,1,5.223551052103309,5.374504152823833,6.39256056996415,7.433890460742299,5.92001855492901,5.22,1,1,2,28
Mitte,Brunnenstr. Nord,52.54064,13.37365,Private room,25,6,3,0.06,1,0,0,0,1,2.726683899536718,2.4560890391597674,3.3041958655187065,1.2786202994691183,2.8147577871779568,1.28,0,1,2,1125
Neukölln,Rixdorf,52.47201,13.44981,Entire home/apt,70,10,2,0.04,1,0,1,1,0,6.9418641419021325,7.204148741637203,5.921864862034291,8.108607161956549,6.462505588275453,5.92,0,1,2,19
Treptow - Köpenick,Baumschulenweg,52.46926,13.49046,Private room,17,10,0,0.0,1,0,0,0,1,9.270347813188598,9.507881176062408,7.977318883189334,10.005492083694666,8.639917438229563,7.98,4,4,8,14
Mitte,Alexanderplatz,52.51004,13.42405,Private room,59,3,0,0.0,1,0,0,1,0,3.2170931889820724,3.386073713554508,1.6480677139183129,3.617410036325764,2.398888538182061,1.65,4,14,16,9
Mitte,Parkviertel,52.55982,13.33646,Entire home/apt,49,7,0,0.0,1,0,0,0,1,5.59890956407096,5.318401913208508,6.561679295670707,4.563782770722833,5.974850006325636,4.56,0,1,1,1125
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.49806,13.42121,Private room,10,5,4,0.07,1,0,0,0,1,3.578001461527325,3.8178719464363082,2.4331259672500374,4.63313412635957,2.994464182657435,2.43,1,1,1,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49125,13.4189,Entire home/apt,69,6,0,0.0,1,0,0,1,1,3.943025488753674,4.205420967286593,3.0414277679162347,5.259358670298181,3.4969927769139724,3.04,2,2,4,1125
Pankow,Prenzlauer Berg Nordwest,52.5484,13.41208,Entire home/apt,100,2,2,0.04,2,0,0,0,1,4.266805057690723,4.111944631652796,3.5957211351354226,2.091821531681025,3.7073679819240155,2.09,1,1,2,10
Tempelhof - Schöneberg,Schöneberg-Nord,52.49753,13.35994,Private room,22,6,6,0.12,1,8,4,1,1,2.4110664842263527,2.593789046082083,3.577940552866328,4.6634683209144265,3.076788000616016,2.41,1,1,2,20
Lichtenberg,Friedrichsfelde Nord,52.51227,13.52739,Private room,27,1,191,3.56,2,50,69,0,1,10.166826954416418,10.288200546197299,8.504795203991247,9.65305656389402,9.278699883308287,8.5,1,1,2,1125
Mitte,Alexanderplatz,52.5243,13.41695,Private room,25,3,2,0.04,1,0,0,0,1,2.8054169009894543,2.8373484926506447,1.308818475612561,2.179990104967778,1.910080207576908,1.31,0,1,1,1125
Mitte,Alexanderplatz,52.52114,13.3827,Entire home/apt,107,2,3,0.06,1,0,0,1,1,0.6371239744613546,0.5227236793780203,1.4227266709221749,1.6403229255319003,0.6832921247683512,0.52,2,2,4,1125
Neukölln,Reuterstraße,52.48637,13.43412,Private room,22,5,9,0.17,1,0,0,1,1,5.070268896991035,5.324627197590312,4.001211008172053,6.193209921804377,4.549866943470985,4.0,2,3,4,14
Pankow,Pankow Süd,52.56441,13.40722,Entire home/apt,39,4,8,0.16,1,0,0,0,1,5.7177208806872875,5.512675586290221,5.3261253451309605,3.454272369257795,5.316944413985148,3.45,1,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50711,13.46689,Entire home/apt,45,6,3,0.06,1,0,0,0,1,6.135402412386849,6.288989028091579,4.510358412319155,6.068814315347492,5.2845461208014015,4.51,2,3,4,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.49476,13.3532,Private room,75,5,1,0.02,1,0,0,0,1,2.917454741314115,3.08052547340812,4.129334523994386,5.1491445392030935,3.6170119746840617,2.92,2,2,4,1125
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49797,13.39847,Private room,60,1,1,0.02,1,0,0,0,1,2.4737626379534623,2.7510952474268398,2.093905819105496,4.1753662175015345,2.249447149431654,2.09,1,1,2,1125
Pankow,Prenzlauer Berg Nord,52.55069,13.41693,Private room,81,3,63,1.18,1,89,5,0,1,4.661897588165993,4.513579692468861,3.916588869238676,2.5053457155843186,4.074613342775794,2.51,1,2,2,30
Steglitz - Zehlendorf,Drakestr.,52.4287,13.30744,Entire home/apt,41,7,0,0.0,1,0,0,0,0,10.853066322861022,11.043330225929898,11.718567802161033,13.112437310698155,11.412286195690863,10.85,0,1,2,32
Neukölln,Neuköllner Mitte/Zentrum,52.47175,13.44001,Private room,30,5,6,0.11,1,8,0,1,1,6.511938984621651,6.781486568792973,5.613001966829672,7.823875105792447,6.097911718542882,5.61,1,1,3,1125
Neukölln,Reuterstraße,52.4872,13.44431,Private room,30,5,2,0.04,1,0,0,1,1,5.556578695681004,5.798191298075609,4.343215793243912,6.478073918710936,4.959612118821262,4.34,1,1,2,1125
Mitte,Tiergarten Süd,52.50281,13.36708,Private room,20,2,8,0.15,1,0,0,1,1,1.6641276469317474,1.8653430778838715,2.844718384078125,3.926397308070861,2.3171443713167137,1.66,2,1,3,14
Mitte,Parkviertel,52.54713,13.34739,Entire home/apt,126,1,17,0.32,1,322,2,0,1,4.005904781795961,3.7261768184271786,5.040385458662969,3.196121659598554,4.4168275005659465,3.2,0,1,2,1125
Pankow,Prenzlauer Berg Süd,52.53464,13.4261,Entire home/apt,106,5,8,0.15,1,0,0,1,1,3.864964511759756,3.827161790217722,2.572411171774233,2.4363057586878014,3.040423470705191,2.44,1,1,2,1125
Neukölln,Neuköllner Mitte/Zentrum,52.46515,13.43944,Entire home/apt,80,3,1,0.03,1,0,0,0,1,7.063825637911189,7.3387978073613915,6.259920225257864,8.47683553954058,6.706254821342952,6.26,1,1,2,8
Reinickendorf,Ost 2,52.56135,13.36443,Entire home/apt,70,2,93,1.73,14,107,25,0,1,5.097894308207743,4.82113343625448,5.6001198424013,3.3994249706104984,5.1847287177001,3.4,0,1,2,1125
Pankow,Prenzlauer Berg Nordwest,52.54842,13.4117,Private room,80,2,1,0.02,2,0,0,0,1,4.254661870447473,4.098527867275743,3.593250087578207,2.0751928799945927,3.699552563312844,2.08,1,1,1,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51132,13.46052,Entire home/apt,48,4,2,0.04,1,0,0,1,1,5.644370652164718,5.781777308755813,3.9953588926946506,5.459840424781919,4.772205557063743,4.0,1,1,2,1125
Charlottenburg-Wilm.,Düsseldorfer Straße,52.49768,13.33587,Entire home/apt,69,3,46,0.85,1,163,0,0,1,3.5175724976523326,3.5956533880679844,4.980696183178698,5.567115724044633,4.353840602277797,3.52,1,1,2,19
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49362,13.38797,Private room,40,4,7,0.13,1,0,0,0,1,2.613334896927752,2.8948026921314836,2.740612365249626,4.62405299489415,2.683431144595306,2.61,1,1,2,3
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49809,13.43305,Entire home/apt,71,2,0,0.0,1,0,0,0,1,4.263419918903386,4.485634404679938,2.935141677493933,5.0465547598865355,3.5912018709836118,2.94,2,3,4,14
Tempelhof - Schöneberg,Tempelhof,52.47173,13.38462,Entire home/apt,60,2,155,2.88,3,25,32,1,1,4.97757890881242,5.249357773450529,5.139967685999269,7.0675897146674815,5.12970847405386,4.98,1,4,4,180
Mitte,Moabit Ost,52.53273,13.35203,Entire home/apt,127,2,59,1.15,4,256,45,0,1,2.5317591828799415,2.270421992219145,3.854264637334867,2.6045261724368265,3.1314054331333403,2.27,0,1,1,5
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51348,13.458,Private room,50,1,33,0.61,2,0,0,1,1,5.455075994924252,5.582581294441683,3.7964052235257233,5.195034870539282,4.572279862972686,3.8,1,1,2,12
Steglitz - Zehlendorf,Zehlendorf  Südwest,52.43591,13.21409,Entire home/apt,77,2,63,1.17,1,346,15,1,1,14.270644343428978,14.35381727237853,15.629176731515088,16.281639195380592,15.074662082676888,14.27,1,1,2,1125
Mitte,Parkviertel,52.5499,13.34853,Private room,20,7,3,0.06,1,0,0,1,0,4.236302805331052,3.9545280191373875,5.19812808274667,3.2692526017490136,4.6013423703731595,3.27,1,2,2,17
Lichtenberg,Neu Lichtenberg,52.50145,13.48107,Entire home/apt,88,21,11,0.2,1,0,0,0,1,7.204554251490683,7.372235900882154,5.607778612987727,7.218662936835867,6.376083536395211,5.61,1,1,2,10
Neukölln,Reuterstraße,52.49173,13.43178,Entire home/apt,100,3,8,0.15,1,0,0,0,1,4.571929725486378,4.81659975816008,3.418449713894873,5.595816512114818,3.999592651312164,3.42,1,1,2,10
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50557,13.45994,Entire home/apt,100,2,0,0.0,1,0,0,1,1,5.7040210531299556,5.867986986289299,4.101492453323894,5.765556630488758,4.870262952124439,4.1,1,1,2,1125
Pankow,Prenzlauer Berg Süd,52.53696,13.42929,Entire home/apt,178,4,116,2.18,1,19,20,1,0,4.1864970007935245,4.140866718389596,2.90925714589844,2.659652101760898,3.3710974470250337,2.66,1,2,2,16
Charlottenburg-Wilm.,Halensee,52.5004,13.29898,Private room,35,1,322,6.03,1,187,73,0,1,5.633763660907807,5.6212554052722075,7.245337849468879,7.300942979100334,6.536368295766009,5.62,0,1,2,1125
Pankow,Prenzlauer Berg Nordwest,52.55135,13.40289,Entire home/apt,80,3,2,0.36,1,198,2,0,1,4.259831750285994,4.067317423248883,3.862636214460078,1.99735468057565,3.8343683445389276,2.0,1,2,3,1125
Lichtenberg,Neu Lichtenberg,52.50256,13.50418,Entire home/apt,25,3,6,0.11,1,0,0,0,0,8.716822630289068,8.871138848176098,7.091217698455825,8.544566980291874,7.866107217081559,7.09,1,1,2,30
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49967,13.43587,Entire home/apt,40,14,0,0.0,1,0,0,0,1,4.355436263953334,4.567565909971586,2.9590021781748033,5.0197897414066075,3.6457465747065285,2.96,0,2,1,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51266,13.45377,Private room,60,1,4,0.07,1,0,0,1,1,5.174725424001276,5.307702732993785,3.5209210315813855,4.987732041370787,4.297620597833743,3.52,1,1,2,365
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51169,13.46534,Entire home/apt,159,2,63,1.22,1,0,15,1,0,5.966441747111988,6.10054976304159,4.313774429316679,5.729109393102837,5.0904938646911555,4.31,1,1,2,10
Neukölln,Rixdorf,52.4792,13.44654,Entire home/apt,90,14,2,0.04,1,0,0,1,0,6.230723515930512,6.485744565473156,5.135841269422668,7.307259621026043,5.705059620377984,5.14,0,1,6,21
Pankow,Prenzlauer Berg Süd,52.53563,13.42769,Entire home/apt,60,3,21,0.39,1,0,0,0,1,4.014953919154578,3.9742078600987707,2.7259314192525603,2.544058749463557,3.193463207235122,2.54,1,1,2,7
Mitte,Alexanderplatz,52.52803,13.39256,Private room,45,2,36,0.71,1,0,2,0,1,1.64947313904365,1.5261392219824101,1.4300727976184617,0.8084574008084603,1.1583621876778618,0.81,1,1,2,100
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50013,13.42391,Private room,25,6,0,0.0,1,0,0,0,1,3.610586404637163,3.8378019334039113,2.350427931394164,4.519114253595014,2.9665460140390927,2.35,1,1,1,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49592,13.41937,Entire home/apt,100,4,6,0.12,1,0,0,1,1,3.6197723385607374,3.8697587825748787,2.58004939728137,4.793581540769041,3.092848558175756,2.58,1,1,2,1125
Pankow,Prenzlauer Berg Süd,52.53725,13.42746,Private room,77,2,27,0.5,1,14,0,0,0,4.101620579760611,4.04967153199734,2.8585748866158953,2.5386070644931276,3.2975400522520073,2.54,0,1,1,365
Mitte,Parkviertel,52.55743,13.36608,Entire home/apt,44,19,74,1.39,1,0,2,0,0,4.648856870160708,4.372578479137045,5.162230226699604,2.9705870412279785,4.737066538153884,2.97,2,1,3,7
Charlottenburg-Wilm.,Mierendorffplatz,52.52524,13.30445,Entire home/apt,100,2,136,2.54,31,117,42,0,0,5.076362171360266,4.9253480177843265,6.711656385271877,5.923318003640817,5.934814879337591,4.93,1,1,3,14
Mitte,Alexanderplatz,52.52829,13.39701,Entire home/apt,184,1,170,3.19,15,90,63,0,1,1.869441316256282,1.7755545385340181,1.3455131471859865,0.8923320526350591,1.2508644162161888,0.89,1,1,2,1125
Mitte,Brunnenstr. Süd,52.53059,13.40424,Entire home/apt,119,13,14,0.26,1,0,2,0,1,2.4015171212968363,2.3228782425889634,1.557789925660797,1.0791941968296155,1.6960853026947353,1.08,1,1,3,9
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5187,13.45875,Private room,29,2,0,0.0,1,0,0,0,1,5.503518075549613,5.603757850419787,3.8376259729156192,4.999264238666989,4.600600286204097,3.84,1,1,2,1125
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49833,13.43145,Private room,60,3,5,0.1,1,0,0,0,1,4.1552006052643335,4.378655509986226,2.839702945465585,4.9626701992414075,3.48891002279705,2.84,1,1,2,1125
Pankow,Helmholtzplatz,52.5407,13.42002,Entire home/apt,270,5,79,1.47,2,133,24,1,1,3.951260724532843,3.8574167651136677,2.9345174636347213,2.1150416030274193,3.2326790749443375,2.12,2,2,5,1125
Pankow,Prenzlauer Berg Südwest,52.53061,13.40819,Entire home/apt,105,2,356,6.64,4,262,91,0,1,2.6094906589307367,2.548350122697315,1.6048214759016102,1.3209066288028273,1.853890333342069,1.32,1,1,2,31
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49158,13.4373,Entire home/apt,45,6,12,0.23,1,1,2,1,1,4.88708957713833,5.125389091395883,3.663178770389258,5.80780802560188,4.278998529597196,3.66,2,4,5,100
Tempelhof - Schöneberg,Schöneberg-Nord,52.49934,13.35758,Private room,34,1,4,0.07,1,0,0,1,0,2.3297373732466795,2.490421322123668,3.5962614184793433,4.55915553057718,3.050570678724835,2.33,0,1,4,1125
Neukölln,Rixdorf,52.47563,13.45453,Entire home/apt,60,4,1,0.02,1,0,0,0,1,6.900846211821821,7.154653041033591,5.779235463295842,7.933899756049262,6.363618931500578,5.78,1,1,2,28
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50938,13.4608,Entire home/apt,42,1,13,0.24,1,0,0,0,1,5.6884510452083745,5.834882776252039,4.051711385494968,5.584284324460401,4.8276415525353045,4.05,1,1,1,20
Mitte,Moabit West,52.52792,13.3364,Entire home/apt,100,5,0,0.0,1,127,0,0,1,3.093337626203936,2.8925958950090984,4.646977394267642,3.738995438620011,3.877597407305447,2.89,1,2,2,31
Charlottenburg-Wilm.,Neue Kantstraße,52.50716,13.29534,Private room,44,3,1,0.02,1,0,0,1,1,5.68768093423495,5.6357303849472355,7.33914875225426,7.153092857555603,6.598674393041835,5.64,1,1,2,15
Mitte,Alexanderplatz,52.51932,13.41624,Private room,30,20,6,0.12,3,117,2,0,1,2.6331349482431037,2.719197252830348,0.9909976066732489,2.4951174660122963,1.7233512320396132,0.99,1,1,4,1125
Neukölln,Reuterstraße,52.48152,13.43921,Private room,30,2,17,0.32,2,0,0,1,1,5.688253986369896,5.946204043522334,4.642176357552797,6.83283682210207,5.186159405132687,4.64,1,1,2,30
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50462,13.46502,Entire home/apt,49,5,1,0.02,1,0,0,0,1,6.0635296618643375,6.228396775140814,4.462260844190069,6.110047501744018,5.230994300891842,4.46,1,1,2,30
Reinickendorf,Ost 1,52.56285,13.36429,Entire home/apt,47,2,75,1.4,14,105,17,0,1,5.26388094511573,4.987349840285524,5.753155903006288,3.5482895996470942,5.344750263067673,3.55,1,1,1,17
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49738,13.43716,Private room,70,2,25,0.53,1,142,14,0,1,4.547027627888371,4.76662649982153,3.192187990201721,5.275090760771839,3.862480961484278,3.19,3,6,6,28
Mitte,Wedding Zentrum,52.55094,13.37087,Entire home/apt,75,5,3,0.06,2,82,0,1,1,3.8867815805056134,3.6142827300788647,4.372878181035555,2.192583757487259,3.9467381665096246,2.19,1,1,1,1125
Lichtenberg,Neu Lichtenberg,52.50089,13.48134,Private room,35,1,12,0.22,1,0,0,1,1,7.2369236623518995,7.4063448016383475,5.6443307093756045,7.266862653122585,6.411569017843739,5.64,2,2,4,3
Pankow,Helmholtzplatz,52.54064,13.42132,Entire home/apt,60,2,7,0.13,1,0,0,1,1,4.011220040489476,3.921664002248088,2.9657132358686167,2.197694981943973,3.281973641961721,2.2,1,1,2,6
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48552,13.37419,Private room,43,4,30,0.59,1,0,0,0,0,3.429968878502867,3.6861212328553026,3.954810751175565,5.6289313914902905,3.7545805973972883,3.43,1,2,2,1125
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51659,13.45275,Entire home/apt,74,2,8,0.15,1,0,0,0,1,5.089799208749926,5.2015088770649145,3.423562111583701,4.720746903037223,4.193666092344819,3.42,1,1,2,10
Lichtenberg,Fennpfuhl,52.5244,13.48043,Private room,30,2,0,0.0,2,0,0,0,1,7.026648217490812,7.104108904330491,5.37198983459237,6.238792925119142,6.116551033973978,5.37,1,1,2,7
Mitte,Moabit Ost,52.52447,13.34253,Entire home/apt,40,4,1,0.02,2,0,0,1,1,2.560654055506064,2.3761001457808857,4.150801244127844,3.446936496476033,3.3759476869372507,2.38,1,2,3,14
Pankow,Prenzlauer Berg Nord,52.54274,13.43972,Private room,60,4,0,0.0,1,0,0,0,1,5.133351251401863,5.077896618953283,3.857199803927174,3.4640214211707243,4.3265377925850546,3.46,1,2,4,1125
Pankow,Prenzlauer Berg Nordwest,52.54975,13.41174,Private room,45,1,0,0.0,1,0,0,0,0,4.3812651836187815,4.220686913227652,3.7394613079808665,2.184767546132505,3.837865032707477,2.18,0,2,5,1125
Mitte,Osloer Straße,52.55695,13.385497,Private room,54,1,28,8.4,1,327,28,0,1,4.557435213161516,4.311353836037154,4.628530428765607,2.446577030396056,4.387555097297926,2.45,2,3,4,1125
Pankow,Weißensee,52.55378,13.43843,Entire home/apt,95,1,133,2.52,12,301,19,0,1,5.862263156081903,5.756432917145409,4.804679968105039,3.8730074575146487,5.1488182265065126,3.87,1,1,2,5
Mitte,Alexanderplatz,52.52029,13.4161,Private room,27,20,16,0.3,3,123,5,0,0,2.6398344305197745,2.7149023713543214,1.0199092689538687,2.4131694515009645,1.7288232356766848,1.02,1,1,2,1125
Neukölln,Rudow,52.42871,13.48516,Private room,75,1,125,2.33,3,335,28,0,1,12.172581742018272,12.446837459569862,11.288313044830025,13.48729810828199,11.786430166991375,11.29,1,1,2,20
